Results After 1000 Battles:		Battle Time: 2024-12-12 11:07:26

Battle 1: Attacker Dice: [6, 3], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 27: Attacker Dice: [4, 3], Defender Dice: [5, 2], Outcome: Draw
Battle 28: Attacker Dice: [6, 2], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 29: Attacker Dice: [3, 2], Defender Dice: [5, 3], Outcome: Defender Wins
Battle 30: Attacker Dice: [4, 2], Defender Dice: [3, 2], Outcome: Draw
Battle 31: Attacker Dice: [2, 2], Defender Dice: [6, 1], Outcome: Draw
Battle 32: Attacker Dice: [6, 5], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 33: Attacker Dice: [4, 2], Defender Dice: [5, 2], Outcome: Defender Wins
Battle 34: Attacker Dice: [2, 1], Defender Dice: [6, 3], Outcome: Defender Wins
Battle 35: Attacker Dice: [5, 2], Defender Dice: [6, 3], Outcome: Defender Wins
Battle 36: Attacker Dice: [6, 4], Defender Dice: [5, 1], Outcome: Attacker Wins
Battle 37: Attacker Dice: [6, 4], Defender Dice: [6, 2], Outcome: Draw
Battle 38: Attacker Dice: [6, 2], Defender Dice: [3, 2], Outcome: Draw
Battle 39: Attacker Dice: [1, 1], Defender Dice: [6, 6], Outcome: Defender Wins
Battle 40: Attacker Dice: [5, 5], Defender Dice: [5, 3], Outcome: Draw
Battle 41: Attacker Dice: [5, 3], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 42: Attacker Dice: [6, 1], Defender Dice: [3, 3], Outcome: Draw
Battle 43: Attacker Dice: [6, 2], Defender Dice: [5, 2], Outcome: Draw
Battle 44: Attacker Dice: [3, 2], Defender Dice: [5, 4], Outcome: Defender Wins
Battle 45: Attacker Dice: [1, 1], Defender Dice: [5, 2], Outcome: Defender Wins
Battle 46: Attacker Dice: [6, 2], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 47: Attacker Dice: [6, 3], Defender Dice: [4, 4], Outcome: Draw
Battle 48: Attacker Dice: [5, 5], Defender Dice: [5, 4], Outcome: Draw
Battle 49: Attacker Dice: [6, 4], Defender Dice: [4, 4], Outcome: Draw
Battle 50: Attacker Dice: [4, 2], Defender Dice: [3, 2], Outcome: Draw
Battle 51: Attacker Dice: [3, 3], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 52: Attacker Dice: [6, 5], Defender Dice: [5, 3], Outcome: Attacker Wins
Battle 53: Attacker Dice: [6, 5], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 54: Attacker Dice: [3, 2], Defender Dice: [6, 1], Outcome: Draw
Battle 55: Attacker Dice: [6, 5], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 56: Attacker Dice: [6, 5], Defender Dice: [6, 1], Outcome: Draw
Battle 57: Attacker Dice: [5, 4], Defender Dice: [5, 5], Outcome: Defender Wins
Battle 58: Attacker Dice: [5, 3], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 59: Attacker Dice: [4, 1], Defender Dice: [6, 3], Outcome: Defender Wins
Battle 60: Attacker Dice: [6, 4], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 61: Attacker Dice: [5, 5], Defender Dice: [4, 3], Outcome: Attacker Wins
Battle 62: Attacker Dice: [5, 4], Defender Dice: [4, 4], Outcome: Draw
Battle 63: Attacker Dice: [4, 2], Defender Dice: [5, 3], Outcome: Defender Wins
Battle 64: Attacker Dice: [5, 2], Defender Dice: [4, 2], Outcome: Draw
Battle 65: Attacker Dice: [5, 4], Defender Dice: [6, 1], Outcome: Draw
Battle 66: Attacker Dice: [5, 4], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 67: Attacker Dice: [6, 4], Defender Dice: [6, 1], Outcome: Draw
Battle 68: Attacker Dice: [2, 2], Defender Dice: [3, 3], Outcome: Defender Wins
Battle 69: Attacker Dice: [5, 5], Defender Dice: [6, 1], Outcome: Draw
Battle 70: Attacker Dice: [6, 3], Defender Dice: [6, 2], Outcome: Draw
Battle 71: Attacker Dice: [6, 3], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 72: Attacker Dice: [6, 6], Defender Dice: [5, 4], Outcome: Attacker Wins
Battle 73: Attacker Dice: [5, 1], Defender Dice: [2, 1], Outcome: Draw
Battle 74: Attacker Dice: [5, 1], Defender Dice: [4, 1], Outcome: Draw
Battle 75: Attacker Dice: [6, 3], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 76: Attacker Dice: [6, 5], Defender Dice: [3, 3], Outcome: Attacker Wins
Battle 77: Attacker Dice: [5, 2], Defender Dice: [5, 1], Outcome: Draw
Battle 78: Attacker Dice: [6, 4], Defender Dice: [5, 3], Outcome: Attacker Wins
Battle 79: Attacker Dice: [4, 3], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 80: Attacker Dice: [6, 2], Defender Dice: [1, 1], Outcome: Attacker Wins
Battle 81: Attacker Dice: [6, 2], Defender Dice: [5, 1], Outcome: Attacker Wins
Battle 82: Attacker Dice: [4, 2], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 83: Attacker Dice: [6, 6], Defender Dice: [5, 2], Outcome: Attacker Wins
Battle 84: Attacker Dice: [6, 5], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 85: Attacker Dice: [5, 4], Defender Dice: [6, 1], Outcome: Draw
Battle 86: Attacker Dice: [6, 5], Defender Dice: [3, 3], Outcome: Attacker Wins
Battle 87: Attacker Dice: [5, 4], Defender Dice: [4, 3], Outcome: Attacker Wins
Battle 88: Attacker Dice: [5, 2], Defender Dice: [2, 2], Outcome: Draw
Battle 89: Attacker Dice: [6, 2], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 90: Attacker Dice: [6, 6], Defender Dice: [5, 4], Outcome: Attacker Wins
Battle 91: Attacker Dice: [5, 4], Defender Dice: [4, 4], Outcome: Draw
Battle 92: Attacker Dice: [5, 4], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 93: Attacker Dice: [6, 6], Defender Dice: [5, 2], Outcome: Attacker Wins
Battle 94: Attacker Dice: [6, 3], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 95: Attacker Dice: [6, 2], Defender Dice: [3, 2], Outcome: Draw
Battle 96: Attacker Dice: [3, 2], Defender Dice: [5, 5], Outcome: Defender Wins
Battle 97: Attacker Dice: [4, 2], Defender Dice: [5, 3], Outcome: Defender Wins
Battle 98: Attacker Dice: [3, 2], Defender Dice: [6, 2], Outcome: Defender Wins
Battle 99: Attacker Dice: [6, 6], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 100: Attacker Dice: [5, 5], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 101: Attacker Dice: [4, 2], Defender Dice: [6, 6], Outcome: Defender Wins
Battle 102: Attacker Dice: [6, 5], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 103: Attacker Dice: [5, 3], Defender Dice: [6, 1], Outcome: Draw
Battle 104: Attacker Dice: [4, 1], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 105: Attacker Dice: [4, 3], Defender Dice: [4, 1], Outcome: Draw
Battle 106: Attacker Dice: [5, 4], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 107: Attacker Dice: [6, 2], Defender Dice: [4, 4], Outcome: Draw
Battle 108: Attacker Dice: [5, 3], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 109: Attacker Dice: [6, 6], Defender Dice: [6, 3], Outcome: Draw
Battle 110: Attacker Dice: [3, 1], Defender Dice: [6, 3], Outcome: Defender Wins
Battle 111: Attacker Dice: [6, 6], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 112: Attacker Dice: [3, 2], Defender Dice: [2, 2], Outcome: Draw
Battle 113: Attacker Dice: [5, 5], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 114: Attacker Dice: [6, 3], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 115: Attacker Dice: [6, 5], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 116: Attacker Dice: [6, 5], Defender Dice: [5, 4], Outcome: Attacker Wins
Battle 117: Attacker Dice: [6, 2], Defender Dice: [4, 2], Outcome: Draw
Battle 118: Attacker Dice: [4, 3], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 119: Attacker Dice: [3, 3], Defender Dice: [5, 4], Outcome: Defender Wins
Battle 120: Attacker Dice: [5, 1], Defender Dice: [5, 1], Outcome: Defender Wins
Battle 121: Attacker Dice: [4, 3], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 122: Attacker Dice: [6, 6], Defender Dice: [6, 4], Outcome: Draw
Battle 123: Attacker Dice: [6, 6], Defender Dice: [5, 2], Outcome: Attacker Wins
Battle 124: Attacker Dice: [6, 3], Defender Dice: [6, 2], Outcome: Draw
Battle 125: Attacker Dice: [3, 1], Defender Dice: [6, 3], Outcome: Defender Wins
Battle 126: Attacker Dice: [6, 2], Defender Dice: [5, 2], Outcome: Draw
Battle 127: Attacker Dice: [6, 4], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 128: Attacker Dice: [6, 2], Defender Dice: [4, 2], Outcome: Draw
Battle 129: Attacker Dice: [6, 6], Defender Dice: [4, 3], Outcome: Attacker Wins
Battle 130: Attacker Dice: [6, 4], Defender Dice: [3, 3], Outcome: Attacker Wins
Battle 131: Attacker Dice: [6, 1], Defender Dice: [4, 2], Outcome: Draw
Battle 132: Attacker Dice: [5, 4], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 133: Attacker Dice: [6, 5], Defender Dice: [5, 1], Outcome: Attacker Wins
Battle 134: Attacker Dice: [4, 2], Defender Dice: [5, 4], Outcome: Defender Wins
Battle 135: Attacker Dice: [5, 4], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 136: Attacker Dice: [4, 3], Defender Dice: [5, 5], Outcome: Defender Wins
Battle 137: Attacker Dice: [6, 1], Defender Dice: [2, 1], Outcome: Draw
Battle 138: Attacker Dice: [5, 3], Defender Dice: [4, 3], Outcome: Draw
Battle 139: Attacker Dice: [6, 4], Defender Dice: [5, 3], Outcome: Attacker Wins
Battle 140: Attacker Dice: [6, 4], Defender Dice: [3, 3], Outcome: Attacker Wins
Battle 141: Attacker Dice: [4, 4], Defender Dice: [5, 1], Outcome: Draw
Battle 142: Attacker Dice: [6, 6], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 143: Attacker Dice: [6, 6], Defender Dice: [5, 2], Outcome: Attacker Wins
Battle 144: Attacker Dice: [5, 4], Defender Dice: [3, 2], Outcome: Attacker Wins
Battle 145: Attacker Dice: [5, 4], Defender Dice: [6, 3], Outcome: Draw
Battle 146: Attacker Dice: [5, 2], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 147: Attacker Dice: [4, 3], Defender Dice: [4, 1], Outcome: Draw
Battle 148: Attacker Dice: [4, 3], Defender Dice: [6, 2], Outcome: Draw
Battle 149: Attacker Dice: [5, 4], Defender Dice: [5, 2], Outcome: Draw
Battle 150: Attacker Dice: [4, 3], Defender Dice: [5, 3], Outcome: Defender Wins
Battle 151: Attacker Dice: [6, 4], Defender Dice: [4, 3], Outcome: Attacker Wins
Battle 152: Attacker Dice: [6, 5], Defender Dice: [6, 3], Outcome: Draw
Battle 153: Attacker Dice: [3, 2], Defender Dice: [5, 3], Outcome: Defender Wins
Battle 154: Attacker Dice: [5, 4], Defender Dice: [1, 1], Outcome: Attacker Wins
Battle 155: Attacker Dice: [5, 2], Defender Dice: [5, 1], Outcome: Draw
Battle 156: Attacker Dice: [6, 3], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 157: Attacker Dice: [4, 4], Defender Dice: [5, 1], Outcome: Draw
Battle 158: Attacker Dice: [6, 5], Defender Dice: [6, 4], Outcome: Draw
Battle 159: Attacker Dice: [5, 4], Defender Dice: [6, 3], Outcome: Draw
Battle 160: Attacker Dice: [6, 4], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 161: Attacker Dice: [5, 5], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 162: Attacker Dice: [6, 6], Defender Dice: [5, 4], Outcome: Attacker Wins
Battle 163: Attacker Dice: [5, 2], Defender Dice: [5, 3], Outcome: Defender Wins
Battle 164: Attacker Dice: [6, 5], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 165: Attacker Dice: [4, 3], Defender Dice: [5, 1], Outcome: Draw
Battle 166: Attacker Dice: [5, 4], Defender Dice: [3, 2], Outcome: Attacker Wins
Battle 167: Attacker Dice: [4, 4], Defender Dice: [3, 2], Outcome: Attacker Wins
Battle 168: Attacker Dice: [6, 4], Defender Dice: [5, 3], Outcome: Attacker Wins
Battle 169: Attacker Dice: [5, 4], Defender Dice: [1, 1], Outcome: Attacker Wins
Battle 170: Attacker Dice: [4, 3], Defender Dice: [5, 1], Outcome: Draw
Battle 171: Attacker Dice: [5, 5], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 172: Attacker Dice: [5, 5], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 173: Attacker Dice: [5, 4], Defender Dice: [6, 3], Outcome: Draw
Battle 174: Attacker Dice: [6, 4], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 175: Attacker Dice: [5, 5], Defender Dice: [5, 4], Outcome: Draw
Battle 176: Attacker Dice: [5, 5], Defender Dice: [6, 3], Outcome: Draw
Battle 177: Attacker Dice: [6, 6], Defender Dice: [6, 6], Outcome: Defender Wins
Battle 178: Attacker Dice: [4, 4], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 179: Attacker Dice: [6, 5], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 180: Attacker Dice: [4, 3], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 181: Attacker Dice: [6, 4], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 182: Attacker Dice: [5, 5], Defender Dice: [5, 3], Outcome: Draw
Battle 183: Attacker Dice: [5, 4], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 184: Attacker Dice: [5, 4], Defender Dice: [6, 1], Outcome: Draw
Battle 185: Attacker Dice: [5, 3], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 186: Attacker Dice: [6, 4], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 187: Attacker Dice: [5, 3], Defender Dice: [1, 1], Outcome: Attacker Wins
Battle 188: Attacker Dice: [4, 2], Defender Dice: [6, 6], Outcome: Defender Wins
Battle 189: Attacker Dice: [6, 5], Defender Dice: [5, 2], Outcome: Attacker Wins
Battle 190: Attacker Dice: [6, 6], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 191: Attacker Dice: [5, 3], Defender Dice: [3, 2], Outcome: Attacker Wins
Battle 192: Attacker Dice: [5, 4], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 193: Attacker Dice: [4, 1], Defender Dice: [6, 6], Outcome: Defender Wins
Battle 194: Attacker Dice: [5, 5], Defender Dice: [6, 1], Outcome: Draw
Battle 195: Attacker Dice: [4, 4], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 196: Attacker Dice: [5, 3], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 197: Attacker Dice: [4, 4], Defender Dice: [6, 6], Outcome: Defender Wins
Battle 198: Attacker Dice: [4, 3], Defender Dice: [6, 2], Outcome: Draw
Battle 199: Attacker Dice: [1, 1], Defender Dice: [5, 3], Outcome: Defender Wins
Battle 200: Attacker Dice: [3, 2], Defender Dice: [3, 1], Outcome: Draw
Battle 201: Attacker Dice: [6, 6], Defender Dice: [5, 1], Outcome: Attacker Wins
Battle 202: Attacker Dice: [5, 3], Defender Dice: [1, 1], Outcome: Attacker Wins
Battle 203: Attacker Dice: [5, 1], Defender Dice: [6, 3], Outcome: Defender Wins
Battle 204: Attacker Dice: [6, 5], Defender Dice: [6, 3], Outcome: Draw
Battle 205: Attacker Dice: [6, 5], Defender Dice: [5, 2], Outcome: Attacker Wins
Battle 206: Attacker Dice: [6, 6], Defender Dice: [6, 6], Outcome: Defender Wins
Battle 207: Attacker Dice: [6, 5], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 208: Attacker Dice: [4, 3], Defender Dice: [4, 2], Outcome: Draw
Battle 209: Attacker Dice: [6, 5], Defender Dice: [3, 2], Outcome: Attacker Wins
Battle 210: Attacker Dice: [5, 4], Defender Dice: [3, 2], Outcome: Attacker Wins
Battle 211: Attacker Dice: [5, 4], Defender Dice: [5, 3], Outcome: Draw
Battle 212: Attacker Dice: [4, 3], Defender Dice: [4, 3], Outcome: Defender Wins
Battle 213: Attacker Dice: [6, 4], Defender Dice: [5, 1], Outcome: Attacker Wins
Battle 214: Attacker Dice: [4, 3], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 215: Attacker Dice: [6, 6], Defender Dice: [5, 1], Outcome: Attacker Wins
Battle 216: Attacker Dice: [2, 2], Defender Dice: [5, 4], Outcome: Defender Wins
Battle 217: Attacker Dice: [4, 3], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 218: Attacker Dice: [5, 3], Defender Dice: [5, 4], Outcome: Defender Wins
Battle 219: Attacker Dice: [5, 2], Defender Dice: [6, 3], Outcome: Defender Wins
Battle 220: Attacker Dice: [5, 4], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 221: Attacker Dice: [5, 5], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 222: Attacker Dice: [6, 4], Defender Dice: [6, 3], Outcome: Draw
Battle 223: Attacker Dice: [6, 2], Defender Dice: [4, 3], Outcome: Draw
Battle 224: Attacker Dice: [5, 5], Defender Dice: [6, 1], Outcome: Draw
Battle 225: Attacker Dice: [4, 4], Defender Dice: [6, 1], Outcome: Draw
Battle 226: Attacker Dice: [5, 3], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 227: Attacker Dice: [6, 3], Defender Dice: [6, 1], Outcome: Draw
Battle 228: Attacker Dice: [5, 3], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 229: Attacker Dice: [4, 3], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 230: Attacker Dice: [6, 6], Defender Dice: [6, 5], Outcome: Draw
Battle 231: Attacker Dice: [6, 4], Defender Dice: [5, 5], Outcome: Draw
Battle 232: Attacker Dice: [5, 3], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 233: Attacker Dice: [6, 3], Defender Dice: [5, 5], Outcome: Draw
Battle 234: Attacker Dice: [5, 3], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 235: Attacker Dice: [6, 4], Defender Dice: [5, 3], Outcome: Attacker Wins
Battle 236: Attacker Dice: [5, 4], Defender Dice: [5, 3], Outcome: Draw
Battle 237: Attacker Dice: [4, 3], Defender Dice: [5, 4], Outcome: Defender Wins
Battle 238: Attacker Dice: [5, 5], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 239: Attacker Dice: [6, 6], Defender Dice: [5, 4], Outcome: Attacker Wins
Battle 240: Attacker Dice: [4, 3], Defender Dice: [4, 1], Outcome: Draw
Battle 241: Attacker Dice: [5, 5], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 242: Attacker Dice: [3, 2], Defender Dice: [4, 2], Outcome: Defender Wins
Battle 243: Attacker Dice: [6, 5], Defender Dice: [3, 2], Outcome: Attacker Wins
Battle 244: Attacker Dice: [3, 1], Defender Dice: [4, 2], Outcome: Defender Wins
Battle 245: Attacker Dice: [5, 4], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 246: Attacker Dice: [5, 5], Defender Dice: [5, 2], Outcome: Draw
Battle 247: Attacker Dice: [4, 3], Defender Dice: [3, 2], Outcome: Attacker Wins
Battle 248: Attacker Dice: [2, 1], Defender Dice: [4, 1], Outcome: Defender Wins
Battle 249: Attacker Dice: [5, 3], Defender Dice: [5, 1], Outcome: Draw
Battle 250: Attacker Dice: [6, 5], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 251: Attacker Dice: [6, 6], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 252: Attacker Dice: [6, 5], Defender Dice: [4, 3], Outcome: Attacker Wins
Battle 253: Attacker Dice: [6, 3], Defender Dice: [6, 3], Outcome: Defender Wins
Battle 254: Attacker Dice: [4, 3], Defender Dice: [5, 2], Outcome: Draw
Battle 255: Attacker Dice: [6, 1], Defender Dice: [6, 2], Outcome: Defender Wins
Battle 256: Attacker Dice: [6, 2], Defender Dice: [4, 2], Outcome: Draw
Battle 257: Attacker Dice: [6, 5], Defender Dice: [5, 1], Outcome: Attacker Wins
Battle 258: Attacker Dice: [5, 4], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 259: Attacker Dice: [5, 3], Defender Dice: [3, 2], Outcome: Attacker Wins
Battle 260: Attacker Dice: [3, 3], Defender Dice: [5, 4], Outcome: Defender Wins
Battle 261: Attacker Dice: [2, 2], Defender Dice: [6, 1], Outcome: Draw
Battle 262: Attacker Dice: [5, 4], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 263: Attacker Dice: [3, 2], Defender Dice: [3, 1], Outcome: Draw
Battle 264: Attacker Dice: [6, 6], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 265: Attacker Dice: [6, 4], Defender Dice: [4, 3], Outcome: Attacker Wins
Battle 266: Attacker Dice: [3, 2], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 267: Attacker Dice: [4, 3], Defender Dice: [4, 3], Outcome: Defender Wins
Battle 268: Attacker Dice: [6, 4], Defender Dice: [1, 1], Outcome: Attacker Wins
Battle 269: Attacker Dice: [6, 5], Defender Dice: [5, 5], Outcome: Draw
Battle 270: Attacker Dice: [4, 2], Defender Dice: [4, 2], Outcome: Defender Wins
Battle 271: Attacker Dice: [6, 5], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 272: Attacker Dice: [6, 5], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 273: Attacker Dice: [6, 3], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 274: Attacker Dice: [6, 4], Defender Dice: [5, 4], Outcome: Draw
Battle 275: Attacker Dice: [4, 4], Defender Dice: [6, 3], Outcome: Draw
Battle 276: Attacker Dice: [4, 1], Defender Dice: [6, 3], Outcome: Defender Wins
Battle 277: Attacker Dice: [6, 6], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 278: Attacker Dice: [6, 6], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 279: Attacker Dice: [6, 2], Defender Dice: [5, 4], Outcome: Draw
Battle 280: Attacker Dice: [6, 5], Defender Dice: [4, 3], Outcome: Attacker Wins
Battle 281: Attacker Dice: [6, 3], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 282: Attacker Dice: [5, 3], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 283: Attacker Dice: [6, 4], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 284: Attacker Dice: [4, 4], Defender Dice: [3, 3], Outcome: Attacker Wins
Battle 285: Attacker Dice: [3, 2], Defender Dice: [5, 4], Outcome: Defender Wins
Battle 286: Attacker Dice: [5, 5], Defender Dice: [5, 4], Outcome: Draw
Battle 287: Attacker Dice: [5, 4], Defender Dice: [6, 1], Outcome: Draw
Battle 288: Attacker Dice: [6, 3], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 289: Attacker Dice: [5, 4], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 290: Attacker Dice: [5, 2], Defender Dice: [6, 2], Outcome: Defender Wins
Battle 291: Attacker Dice: [6, 6], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 292: Attacker Dice: [6, 5], Defender Dice: [1, 1], Outcome: Attacker Wins
Battle 293: Attacker Dice: [3, 2], Defender Dice: [4, 3], Outcome: Defender Wins
Battle 294: Attacker Dice: [6, 2], Defender Dice: [6, 2], Outcome: Defender Wins
Battle 295: Attacker Dice: [5, 3], Defender Dice: [6, 1], Outcome: Draw
Battle 296: Attacker Dice: [4, 2], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 297: Attacker Dice: [5, 4], Defender Dice: [5, 3], Outcome: Draw
Battle 298: Attacker Dice: [6, 5], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 299: Attacker Dice: [3, 3], Defender Dice: [4, 3], Outcome: Defender Wins
Battle 300: Attacker Dice: [3, 3], Defender Dice: [6, 3], Outcome: Defender Wins
Battle 301: Attacker Dice: [6, 6], Defender Dice: [3, 3], Outcome: Attacker Wins
Battle 302: Attacker Dice: [4, 3], Defender Dice: [4, 3], Outcome: Defender Wins
Battle 303: Attacker Dice: [6, 4], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 304: Attacker Dice: [4, 4], Defender Dice: [6, 1], Outcome: Draw
Battle 305: Attacker Dice: [2, 1], Defender Dice: [1, 1], Outcome: Draw
Battle 306: Attacker Dice: [6, 5], Defender Dice: [4, 3], Outcome: Attacker Wins
Battle 307: Attacker Dice: [4, 3], Defender Dice: [6, 6], Outcome: Defender Wins
Battle 308: Attacker Dice: [6, 5], Defender Dice: [6, 1], Outcome: Draw
Battle 309: Attacker Dice: [3, 2], Defender Dice: [5, 4], Outcome: Defender Wins
Battle 310: Attacker Dice: [6, 2], Defender Dice: [5, 3], Outcome: Draw
Battle 311: Attacker Dice: [5, 2], Defender Dice: [6, 3], Outcome: Defender Wins
Battle 312: Attacker Dice: [6, 5], Defender Dice: [4, 1], Outcome: Attacker Wins
